label	start	end	notes
P01	4.1129172873508155	8.208093558456072	very common motif to begin Daramad-e Dashti with.. It can have less or more of the emphasis on the first interval.
P02	9.219248193296876	11.443788389946645	
P02	17.965735784669832	20.34194917654572	
P02	25.802184204686064	28.17839759656195	
P03	32.96988827234931	36.508929494292126	typical motif to show the 'Motaqayyer' tone.
P01	53.832990722252234	59.24266801865054	shorter version
P02	66.92744324344065	69.0003102448643	
P03	77.20432168709004	80.94559383600101	variation
