label	start	end	notes
P02	14.00501403569195	16.643975070678728	variation?. here we have an example of the concept (if we take it as a signature motif) appears in reverse order of tones around Shahed.
P01	51.44400206206651	58.516417635831075	common opening motif for Esfahan Daramad
P02	95.93827632698678	97.38970489622952	very common to end phrases
